,assetClass,beta3Yr,cost,date,distYield,dnow,modelOad,numHoldings,optionAdjustedSpread,priceBook,priceEarnings,sharesOutstanding,standardDeviation3Yr,thirtyDaySecYield,ticker,totalNetAssets,twelveMonTrlYld,weightedAvgCoupon,weightedAvgLife,yieldToWorst,link
155,Equity,1.2,0.0025,2019-06-17 00:00:00.000000,0.020099999999999996,2019-06-18 10:30:34.632963,,294.0,,1.6,15.15,40050000.0,0.1557,0.0179,IJJ,6211244245.0,0.018000000000000002,,,,https://www.ishares.com/us/products/239764/ishares-sp-midcap-400-value-etf
156,Equity,0.73,0.0031,2019-06-17 00:00:00.000000,0.0184,2019-06-18 10:30:40.643000,,928.0,,1.57,14.92,942600000.0,0.1091,0.0276,EFA,60137011255.0,0.031400000000000004,,,,https://www.ishares.com/us/products/239623/ishares-msci-eafe-etf
157,Equity,1.11,0.0025,2019-06-17 00:00:00.000000,0.0173,2019-06-18 10:30:45.843855,,190.0,,2.95,20.08,3650000.0,0.1351,0.0155,JKG,694474871.0,0.0168,,,,https://www.ishares.com/us/products/239582/ishares-morningstar-midcap-etf
158,Equity,1.03,0.002,2019-06-17 00:00:00.000000,0.018000000000000002,2019-06-18 10:30:53.923470,,2928.0,,3.04,20.14,54950000.0,0.12029999999999999,0.0173,IWV,9306657734.0,0.0176,,,,https://www.ishares.com/us/products/239714/ishares-russell-3000-etf
159,Equity,1.3,0.0024,2019-06-17 00:00:00.000000,0.0079,2019-06-18 10:31:01.666128,,1231.0,,3.79,21.78,45300000.0,0.1705,0.0059,IWO,8946195664.0,0.0068000000000000005,,,,https://www.ishares.com/us/products/239709/ishares-russell-2000-growth-etf
160,Equity,1.01,0.003,2019-06-17 00:00:00.000000,0.0285,2019-06-18 10:31:06.847607,,182.0,,1.64,14.26,2950000.0,0.1303,0.0287,JKI,454685278.0,0.025,,,,https://www.ishares.com/us/products/239584/ishares-morningstar-midcap-value-etf
161,Fixed Income,0.0,0.001,2019-06-17 00:00:00.000000,0.0245,2019-06-18 10:31:10.324310,0.98,518.0,46.0,,,45150000.0,0.0144,0.025699999999999997,IBDL,1139818866.0,0.025,0.031400000000000004,1.0,0.0253,https://www.ishares.com/us/products/271056/ishares-ibonds-dec-2020-corporate-etf
162,Fixed Income,0.0,0.0008,2019-06-17 00:00:00.000000,0.027200000000000002,2019-06-18 10:31:13.277112,0.43,234.0,44.0,,,29200000.0,0.0027,0.0275,ICSH,1468851260.0,0.0258,0.0194,0.72,0.026099999999999998,https://www.ishares.com/us/products/258806/ishares-liquidity-income-etf
163,Equity,1.03,0.004699999999999999,2019-06-17 00:00:00.000000,0.0123,2019-06-18 10:31:18.314361,,148.0,,2.62,18.44,1850000.0,0.1335,0.0138,RXI,215262135.0,0.015700000000000002,,,,https://www.ishares.com/us/products/239739/ishares-global-consumer-discretionary-etf
164,Equity,,0.004699999999999999,2019-06-17 00:00:00.000000,,2019-06-18 10:31:19.647582,,48.0,,4.82,16.27,150000.0,,,IDNA,3969463.0,,,,,https://www.ishares.com/us/products/308878/
